Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Trogon rufus,Black-throated Trogon,0.3476
6.0,9.0,Glaucidium radiatum,Jungle Owlet,0.2315
9.0,12.0,Trogon rufus,Black-throated Trogon,0.1695
12.0,15.0,Ciccaba virgata,Mottled Owl,0.1029
15.0,18.0,Trogon rufus,Black-throated Trogon,0.2061
18.0,21.0,Nyctidromus albicollis,Common Pauraque,0.2371
21.0,24.0,Trogon rufus,Black-throated Trogon,0.1498
24.0,27.0,Nyctidromus albicollis,Common Pauraque,0.5256
24.0,27.0,Trogon rufus,Black-throated Trogon,0.4651
27.0,30.0,Trogon rufus,Black-throated Trogon,0.1417
30.0,33.0,Nyctidromus albicollis,Common Pauraque,0.2534
30.0,33.0,Trogon rufus,Black-throated Trogon,0.1167
33.0,36.0,Trogon rufus,Black-throated Trogon,0.3077
36.0,39.0,Glaucidium radiatum,Jungle Owlet,0.1744
42.0,45.0,Trogon rufus,Black-throated Trogon,0.1257
45.0,48.0,Nyctidromus albicollis,Common Pauraque,0.1285
48.0,51.0,Nyctidromus albicollis,Common Pauraque,0.1266
60.0,63.0,Nyctidromus albicollis,Common Pauraque,0.2270
66.0,69.0,Trogon rufus,Black-throated Trogon,0.5138
93.0,96.0,Nyctidromus albicollis,Common Pauraque,0.1587
99.0,102.0,Trogon rufus,Black-throated Trogon,0.1422
102.0,105.0,Nyctidromus albicollis,Common Pauraque,0.1133
129.0,132.0,Trogon rufus,Black-throated Trogon,0.2275
